"created_at","stage"
"2020-02-10 9:01:00","1"
"2020-02-09 20:53:00","0"
"2020-02-04 8:56:00","2"
"2020-02-04 6:00:00","0"
"2020-02-03 18:02:00","2"
"2020-02-03 16:01:00","0"
"2020-02-03 8:55:00","2"
"2020-02-03 6:36:00","0"
"2020-01-31 9:02:00","2"
"2020-01-31 6:01:00","0"
"2020-01-30 21:00:00","2"
"2020-01-10 22:57:00","0"
"2020-01-10 6:01:00","1"
"2020-01-08 20:57:00","2"
"2020-01-08 6:01:00","0"
"2020-01-08 0:59:00","2"
"2020-01-05 23:00:00","0"
"2020-01-04 21:56:00","2"
"2019-12-13 21:00:00","0"
"2019-12-13 15:59:00","1"
"2019-12-13 9:01:00","2"
"2019-12-12 22:55:00","1"
"2019-12-10 20:58:00","2"
"2019-12-10 20:00:00","3"
"2019-12-09 22:02:00","4"
"2019-12-09 18:06:00","6"
"2019-12-09 10:00:00","4"
"2019-12-08 9:00:00","2"
"2019-12-07 22:51:00","1"
"2019-12-06 23:01:00","2"
"2019-12-06 14:07:00","4"
"2019-12-06 9:02:00","2"
"2019-12-06 7:04:00","0"
"2019-12-05 16:00:00","2"
"2019-11-08 5:00:00","0"
"2019-11-07 22:00:00","2"
"2019-10-19 22:59:00","0"
"2019-10-19 8:58:00","1"
"2019-10-18 23:03:00","0"
"2019-10-18 12:00:00","2"
"2019-10-18 8:47:00","1"
"2019-10-17 23:01:00","0"
"2019-10-17 9:00:00","2"
"2019-10-16 23:00:00","0"
"2019-10-16 8:59:00","2"
"2019-03-23 22:31:00","0"
"2019-03-23 21:25:00","1"
"2019-03-23 9:13:00","2"
"2019-03-22 23:00:00","1"
"2019-03-22 8:59:00","2"
"2019-03-21 23:41:00","1"
"2019-03-21 8:59:00","4"
"2019-03-20 23:01:00","2"
"2019-03-20 8:55:00","4"
"2019-03-19 23:00:00","2"
"2019-03-19 9:00:00","4"
"2019-03-19 8:09:00","2"
"2019-03-18 9:00:00","4"
"2019-03-17 22:55:00","2"
"2019-03-17 7:37:00","4"
"2019-03-16 22:56:00","2"
"2019-03-16 12:23:00","4"
"2019-03-16 10:03:00","3"
"2019-03-16 8:02:00","2"
"2019-03-15 23:02:00","0"
"2019-03-15 8:05:00","2"
"2019-03-14 23:18:00","0"
"2019-03-14 15:00:00","2"
"2019-03-14 11:01:00","1"
"2019-02-14 22:03:00","0"
"2019-02-14 8:00:00","2"
"2019-02-13 21:55:00","0"
"2019-02-13 8:00:00","3"
"2019-02-12 22:28:00","0"
"2019-02-12 8:00:00","3"
"2019-02-11 23:06:00","0"
"2019-02-11 13:03:00","4"
"2019-02-11 9:01:00","2"
"2019-02-10 22:02:00","0"
"2019-02-10 13:02:00","2"
"2018-12-08 21:41:00","0"
"2018-12-08 10:15:00","1"
"2018-12-07 21:39:00","0"
